episode_id,batch,task_id,category,family,condition,condition_name,model,repeat,Q,Z,W,F,ZWF,all_reads,first_mutation,reads_before_first_mutation,total_tool_calls,success,error_type
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r0,primary,multi_turn_miss_param_36,miss_param,compression,C1,neutral,qwen25_72b,0,1,0,1,1,0,16,0,0,19,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r0,primary,multi_turn_miss_param_36,miss_param,compression,C3,static,qwen25_72b,0,1,0,1,1,0,17,0,0,20,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r0,primary,multi_turn_miss_param_36,miss_param,compression,C4,apca,qwen25_72b,0,3,0,1,1,0,14,0,0,17,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r1,primary,multi_turn_miss_param_36,miss_param,compression,C1,neutral,qwen25_72b,1,1,0,1,1,0,16,0,0,19,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r1,primary,multi_turn_miss_param_36,miss_param,compression,C3,static,qwen25_72b,1,1,0,1,1,0,17,0,0,20,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r1,primary,multi_turn_miss_param_36,miss_param,compression,C4,apca,qwen25_72b,1,3,0,1,1,0,14,0,0,17,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r2,primary,multi_turn_miss_param_36,miss_param,compression,C1,neutral,qwen25_72b,2,1,0,1,1,0,16,0,0,19,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r2,primary,multi_turn_miss_param_36,miss_param,compression,C3,static,qwen25_72b,2,1,0,1,1,0,17,0,0,20,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r2,primary,multi_turn_miss_param_36,miss_param,compression,C4,apca,qwen25_72b,2,3,0,1,1,0,14,0,0,17,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r3,primary,multi_turn_miss_param_36,miss_param,compression,C1,neutral,qwen25_72b,3,1,0,1,1,0,16,0,0,19,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r3,primary,multi_turn_miss_param_36,miss_param,compression,C3,static,qwen25_72b,3,1,0,1,1,0,17,0,0,20,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r3,primary,multi_turn_miss_param_36,miss_param,compression,C4,apca,qwen25_72b,3,3,0,1,1,0,14,0,0,17,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r4,primary,multi_turn_miss_param_36,miss_param,compression,C1,neutral,qwen25_72b,4,1,0,1,1,0,16,0,0,19,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r4,primary,multi_turn_miss_param_36,miss_param,compression,C3,static,qwen25_72b,4,1,0,1,1,0,17,0,0,20,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r4,primary,multi_turn_miss_param_36,miss_param,compression,C4,apca,qwen25_72b,4,3,0,1,1,0,14,0,0,17,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C1|r5,primary,multi_turn_miss_param_36,miss_param,compression,C1,neutral,qwen25_72b,5,1,0,1,1,0,16,0,0,19,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C3|r5,primary,multi_turn_miss_param_36,miss_param,compression,C3,static,qwen25_72b,5,1,0,1,1,0,17,0,0,20,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_miss_param_36|qwen25_72b|C4|r5,primary,multi_turn_miss_param_36,miss_param,compression,C4,apca,qwen25_72b,5,3,0,1,1,0,14,0,0,17,0,multi_turn:instance_state_mismatch
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r0,primary,multi_turn_base_165,base,compression,C1,neutral,qwen25_72b,0,3,0,0,1,0,2,,2,2,0,multi_turn:empty_turn_model_response
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r0,primary,multi_turn_base_165,base,compression,C3,static,qwen25_72b,0,1,0,1,0,0,5,2,2,7,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r0,primary,multi_turn_base_165,base,compression,C4,apca,qwen25_72b,0,0,1,1,0,0,7,3,3,9,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r1,primary,multi_turn_base_165,base,compression,C1,neutral,qwen25_72b,1,3,0,0,1,0,2,,2,2,0,multi_turn:empty_turn_model_response
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r1,primary,multi_turn_base_165,base,compression,C3,static,qwen25_72b,1,1,0,1,0,0,5,2,2,7,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r1,primary,multi_turn_base_165,base,compression,C4,apca,qwen25_72b,1,0,1,1,0,0,7,3,3,9,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r2,primary,multi_turn_base_165,base,compression,C1,neutral,qwen25_72b,2,3,0,0,1,0,2,,2,2,0,multi_turn:empty_turn_model_response
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r2,primary,multi_turn_base_165,base,compression,C3,static,qwen25_72b,2,1,0,1,0,0,5,2,2,7,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r2,primary,multi_turn_base_165,base,compression,C4,apca,qwen25_72b,2,0,1,1,0,0,7,3,3,9,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r3,primary,multi_turn_base_165,base,compression,C1,neutral,qwen25_72b,3,3,0,0,1,0,2,,2,2,0,multi_turn:empty_turn_model_response
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r3,primary,multi_turn_base_165,base,compression,C3,static,qwen25_72b,3,1,0,1,0,0,5,2,2,7,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r3,primary,multi_turn_base_165,base,compression,C4,apca,qwen25_72b,3,0,1,1,0,0,7,3,3,9,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r4,primary,multi_turn_base_165,base,compression,C1,neutral,qwen25_72b,4,3,0,0,1,0,2,,2,2,0,multi_turn:empty_turn_model_response
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r4,primary,multi_turn_base_165,base,compression,C3,static,qwen25_72b,4,1,0,1,0,0,5,2,2,7,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r4,primary,multi_turn_base_165,base,compression,C4,apca,qwen25_72b,4,0,1,1,0,0,7,3,3,9,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C1|r5,primary,multi_turn_base_165,base,compression,C1,neutral,qwen25_72b,5,3,0,0,1,0,2,,2,2,0,multi_turn:empty_turn_model_response
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C3|r5,primary,multi_turn_base_165,base,compression,C3,static,qwen25_72b,5,1,0,1,0,0,5,2,2,7,1,
confirmatory|bfcl|multi_turn_base_165|qwen25_72b|C4|r5,primary,multi_turn_base_165,base,compression,C4,apca,qwen25_72b,5,0,1,1,0,0,7,3,3,9,1,
confirmatory|bfcl|multi_turn_miss_param_2|qwen25_72b|C1|r0,primary,multi_turn_miss_param_2,miss_param,compression,C1,neutral,qwen25_72b,0,6,0,1,1,0,18,1,1,24,0,multi_turn:instance_state_mismatch
